"Model","CandidateID","Architecture","Learning_rate","L1","L2","Inner_folds_ok","Mean_RMSE","Mean_Correlation","Mean_MAE","Median_EarlyStop_epoch","Max_Last_epoch","N_epoch_ceiling","Status","Scenario","Repetition","Fold","SplitID","TaskID"
"ANN_L1_L2",16,"32-16",0.000125,0.01,0.001,4,2.02017830564839,0.524473826970341,1.6234454573719,452,846,0,"ok","C1",1,2,"R01_F02","C1_R01_F02"
"ANN_L1_L2",17,"32-16",0.000125,0.03,0.001,4,2.29812917720141,0.417196893247624,1.85593061753327,106,141,0,"ok","C1",1,2,"R01_F02","C1_R01_F02"
"ANN_L1_L2",18,"32-16",0.000125,0.1,0.001,4,2.31058067011252,NA,1.86645917366124,112,2000,1,"ok","C1",1,2,"R01_F02","C1_R01_F02"
"ANN_L1_L2",19,"32-16",0.000125,1e-05,0.01,4,2.1130090655865,0.425880689643733,1.68615280356227,46.5,98,0,"ok","C1",1,2,"R01_F02","C1_R01_F02"
"ANN_L1_L2",20,"32-16",0.000125,1e-04,0.01,4,2.10596302619395,0.430840503301623,1.68110858778685,46,94,0,"ok","C1",1,2,"R01_F02","C1_R01_F02"
"ANN_L1_L2",21,"32-16",0.000125,0.001,0.01,4,2.08824497188415,0.449981710703553,1.67057135084422,92.5,181,0,"ok","C1",1,2,"R01_F02","C1_R01_F02"
"ANN_L1_L2",22,"32-16",0.000125,0.01,0.01,4,2.03739329288452,0.511756900577556,1.63682313236203,487.5,905,0,"ok","C1",1,2,"R01_F02","C1_R01_F02"
"ANN_L1_L2",23,"32-16",0.000125,0.03,0.01,4,2.2983665932794,0.413746986156702,1.85623317812457,106,142,0,"ok","C1",1,2,"R01_F02","C1_R01_F02"
"ANN_L1_L2",24,"32-16",0.000125,0.1,0.01,4,2.31158274538291,NA,1.86709360744625,1051,2000,2,"ok","C1",1,2,"R01_F02","C1_R01_F02"
"ANN_0",1,"2",0.000125,0,0,4,2.29169553251944,0.391229441477386,1.83371038338674,49,94,0,"ok","C1",1,3,"R01_F03","C1_R01_F03"
"ANN_0",2,"4",0.000125,0,0,4,2.12561263317347,0.430906329900215,1.6994353448081,33,90,0,"ok","C1",1,3,"R01_F03","C1_R01_F03"
"ANN_0",3,"8",0.000125,0,0,4,2.11576560340046,0.423698526611805,1.6947471879466,14,59,0,"ok","C1",1,3,"R01_F03","C1_R01_F03"
"ANN_0",4,"16",0.000125,0,0,4,2.08129330666311,0.417515939080299,1.67012695330993,18.5,50,0,"ok","C1",1,3,"R01_F03","C1_R01_F03"
