"Scenario","Model","Metric","N","Mean_advantage","Median_advantage","ANN_better","Equal","GBLUP_better"
"C3","ANN_L2","Phenotype_Slope",25,-0.114225808349957,-0.086176899634348,4,0,21
"C3","ANN_L2","Phenotype_R2",25,-0.0422580288589444,-0.0463088448057809,6,0,19
"C4","ANN_L2","Genetic_Correlation",25,-0.0287820389277622,-0.0248286659333522,2,0,23
"C4","ANN_L2","Genetic_RMSE",25,-0.0478845296869647,-0.0357474054480987,0,0,25
"C4","ANN_L2","Genetic_MAE",25,-0.0389691094556873,-0.0294391746039017,0,0,25
"C4","ANN_L2","Genetic_Bias",25,-0.0302732033392778,-0.00566328457677032,10,0,15
"C4","ANN_L2","Genetic_Slope",25,-0.129814342871417,-0.117427182204938,5,0,20
"C4","ANN_L2","Genetic_R2",25,-0.0950288995318398,-0.0618927359060067,0,0,25
"C4","ANN_L2","Phenotype_Correlation",25,-0.0177171369704609,-0.0200780563847425,4,0,21
"C4","ANN_L2","Phenotype_RMSE",25,-0.0207307678734704,-0.0211514424373892,2,0,23
"C4","ANN_L2","Phenotype_MAE",25,-0.0148140965525861,-0.0160765065212891,3,0,22
"C4","ANN_L2","Phenotype_Bias",25,-0.021594326316358,-0.0056632845767703,11,0,14
"C4","ANN_L2","Phenotype_Slope",25,-0.0943081784951959,-0.0612036424111109,8,0,17
"C4","ANN_L2","Phenotype_R2",25,-0.0408490008762633,-0.0420677697494741,2,0,23
"C5","ANN_L2","Genetic_Correlation",25,-0.0106705507242058,0.000927432149112395,13,0,12
"C5","ANN_L2","Genetic_RMSE",25,-0.0283764857580173,-0.028909969527757,5,0,20
"C5","ANN_L2","Genetic_MAE",25,-0.0191157149257731,-0.0183888769121956,5,0,20
"C5","ANN_L2","Genetic_Bias",25,-0.0266729346773255,-0.0120616561835146,8,0,17
"C5","ANN_L2","Genetic_Slope",25,-0.129465779217435,-0.147335748069685,0,0,25
"C5","ANN_L2","Genetic_R2",25,-0.0682925258091691,-0.0616021140054503,5,0,20
"C5","ANN_L2","Phenotype_Correlation",25,-0.00644861011187375,-0.0030402926138669,10,0,15
"C5","ANN_L2","Phenotype_RMSE",25,-0.0114224127880388,-0.0109566178480502,6,0,19
"C5","ANN_L2","Phenotype_MAE",25,-0.00914739308672307,-0.00686565867100586,6,0,19
"C5","ANN_L2","Phenotype_Bias",25,-0.0181954669111657,-0.0120616561835146,7,0,18
"C5","ANN_L2","Phenotype_Slope",25,-0.0755630332697024,-0.0895994005163494,6,0,19
"C5","ANN_L2","Phenotype_R2",25,-0.0253642405442357,-0.0225424889095713,6,0,19
"C6","ANN_L2","Genetic_Correlation",25,-0.01826477318076,-0.013073555967501,7,0,18
"C6","ANN_L2","Genetic_RMSE",25,-0.0342498747853189,-0.0261333810990758,4,0,21
"C6","ANN_L2","Genetic_MAE",25,-0.0264928931338989,-0.0233725089935761,4,0,21
"C6","ANN_L2","Genetic_Bias",25,-0.0346130517513413,-0.0295648369398727,6,0,19
"C6","ANN_L2","Genetic_Slope",25,-0.0750235476511088,-0.0784666190190756,5,0,20
