"Model","Architecture","Learning_rate","L1","L2","Inner_RMSE","Inner_Correlation","Inner_MAE","Scenario","Repetition","Fold","SplitID","TaskID"
"ANN_0","64-32",0.000125,0,0,0.827456617226502,0.645084212745932,0.658473628095346,"C2",2,1,"R02_F01","C2_R02_F01"
"ANN_L1","64-32",0.000125,0.001,0,0.82284658628691,0.652312074441595,0.655235223626248,"C2",2,1,"R02_F01","C2_R02_F01"
"ANN_L2","64-32",0.000125,0,0.01,0.825273255818616,0.651062378988164,0.657569524128056,"C2",2,1,"R02_F01","C2_R02_F01"
"ANN_L1_L2","64-32",0.000125,0.001,0.01,0.822116066797026,0.652588006422848,0.654447641930016,"C2",2,1,"R02_F01","C2_R02_F01"
"ANN_0","32-16",0.000125,0,0,0.837101849311437,0.647282386304724,0.655701390713413,"C2",2,2,"R02_F02","C2_R02_F02"
"ANN_L1","32-16",0.000125,1e-05,0,0.842619544729451,0.635196259515125,0.657915948871113,"C2",2,2,"R02_F02","C2_R02_F02"
"ANN_L2","32-16",0.000125,0,0.01,0.841634091329606,0.635370198459083,0.657310201712967,"C2",2,2,"R02_F02","C2_R02_F02"
"ANN_L1_L2","32-16",0.000125,1e-04,0.001,0.841954734313417,0.635453877481966,0.657437383744512,"C2",2,2,"R02_F02","C2_R02_F02"
"ANN_0","4",0.000125,0,0,0.827947043558939,0.644556707691958,0.659617695370626,"C2",2,3,"R02_F03","C2_R02_F03"
"ANN_L1","4",0.000125,0.01,0,0.881167826144211,0.59951004696013,0.691303961344977,"C2",2,3,"R02_F03","C2_R02_F03"
"ANN_L2","4",0.000125,0,1e-04,0.886542270628857,0.606461132663599,0.69571881437654,"C2",2,3,"R02_F03","C2_R02_F03"
"ANN_L1_L2","4",0.000125,0.01,0.01,0.880510218459602,0.599617273132293,0.691342886755097,"C2",2,3,"R02_F03","C2_R02_F03"
"ANN_0","16-8",5e-04,0,0,0.824511762315216,0.64318963076882,0.647440783103844,"C2",2,4,"R02_F04","C2_R02_F04"
"ANN_L1","16-8",5e-04,0.001,0,0.851129943759457,0.627275948681946,0.670203532042262,"C2",2,4,"R02_F04","C2_R02_F04"
"ANN_L2","16-8",5e-04,0,0.01,0.853386643709697,0.623672582882557,0.671958022015222,"C2",2,4,"R02_F04","C2_R02_F04"
"ANN_L1_L2","16-8",5e-04,0.001,0.01,0.850715061252726,0.627301205916567,0.670084966314734,"C2",2,4,"R02_F04","C2_R02_F04"
"ANN_0","32",0.000125,0,0,0.831195714597456,0.640332834320106,0.657915909458372,"C2",2,5,"R02_F05","C2_R02_F05"
