"Model","CandidateID","Architecture","Learning_rate","L1","L2","InnerFold","RMSE","Correlation","MAE","EarlyStop_epoch","Last_epoch","Stopped_by_patience","Hit_epoch_ceiling","Fit_seconds","Prediction_seconds","Status","Error","Scenario","Repetition","Fold","SplitID","TaskID"
"ANN_0",25,"16-8",5e-04,0,0,2,2.15042064340504,0.348225550733579,1.74945495620911,10,35,TRUE,FALSE,0.330000000000005,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",25,"16-8",5e-04,0,0,3,2.14351819691417,0.465584510784268,1.69800722825152,10,35,TRUE,FALSE,0.380000000000003,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",25,"16-8",5e-04,0,0,4,2.13298223624239,0.421251421436503,1.71309056265667,11,36,TRUE,FALSE,0.390000000000001,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",26,"32-16",5e-04,0,0,1,2.03902512359042,0.473565820428146,1.61204254519736,16,41,TRUE,FALSE,0.399999999999999,0.0200000000000031,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",26,"32-16",5e-04,0,0,2,2.1196088851336,0.332531267775578,1.70670608209047,5,30,TRUE,FALSE,0.330000000000005,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",26,"32-16",5e-04,0,0,3,2.20389072203343,0.425309062864587,1.76048187405742,6,31,TRUE,FALSE,0.329999999999998,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",26,"32-16",5e-04,0,0,4,1.98558913784457,0.431232762851934,1.57485415650383,5,30,TRUE,FALSE,0.310000000000002,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",27,"64-32",5e-04,0,0,1,1.98720123500713,0.495763888201817,1.57292648510434,6,31,TRUE,FALSE,0.409999999999997,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",27,"64-32",5e-04,0,0,2,2.13638644037531,0.307914841960603,1.70713737277686,5,30,TRUE,FALSE,0.359999999999999,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",27,"64-32",5e-04,0,0,3,2.19363334270688,0.434539327392028,1.74886886732834,4,29,TRUE,FALSE,0.310000000000002,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",27,"64-32",5e-04,0,0,4,2.04562960629475,0.417804498187448,1.61104482127444,3,28,TRUE,FALSE,0.279999999999994,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",28,"2",0.001,0,0,1,2.1088912867916,0.417063680410963,1.66016014736189,3,28,TRUE,FALSE,0.270000000000003,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",28,"2",0.001,0,0,2,2.32599941089194,0.312071026763,1.87155342937482,3,28,TRUE,FALSE,0.210000000000001,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",28,"2",0.001,0,0,3,2.32521166480207,0.412845640868697,1.87789703917956,31,56,TRUE,FALSE,0.449999999999996,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",28,"2",0.001,0,0,4,2.3508681614319,0.31138023475477,1.87262965265028,3,28,TRUE,FALSE,0.219999999999999,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",29,"4",0.001,0,0,1,2.23963445997964,0.423581462206696,1.76007977460919,11,36,TRUE,FALSE,0.279999999999994,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",29,"4",0.001,0,0,2,2.15582800537482,0.391514623109027,1.76733502559782,3,28,TRUE,FALSE,0.219999999999999,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",29,"4",0.001,0,0,3,2.35705252730097,0.394195389311986,1.87245870913208,4,29,TRUE,FALSE,0.229999999999997,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",29,"4",0.001,0,0,4,2.13219973263692,0.295215096726113,1.70382792239924,1,26,TRUE,FALSE,0.219999999999999,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",30,"8",0.001,0,0,1,2.15957031778808,0.422697977607714,1.7160220890946,7,32,TRUE,FALSE,0.309999999999995,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",30,"8",0.001,0,0,2,2.20457714262486,0.381152215776598,1.78186140744104,2,27,TRUE,FALSE,0.270000000000003,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",30,"8",0.001,0,0,3,2.22769840665339,0.421473492873535,1.77875291867145,3,28,TRUE,FALSE,0.240000000000002,0.00999999999999801,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",30,"8",0.001,0,0,4,2.18472498544702,0.374975886209627,1.7435886120318,3,28,TRUE,FALSE,0.259999999999998,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",31,"16",0.001,0,0,1,2.06778139532131,0.465282246749777,1.63604447840886,3,28,TRUE,FALSE,0.240000000000002,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",31,"16",0.001,0,0,2,2.173973150924,0.345524459904427,1.7493930350108,4,29,TRUE,FALSE,0.229999999999997,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
