"Dataset","Scenario","QTL_N","H2_nominal","Repetition","Fold","SplitID","TaskID","Model","Architecture","Learning_rate","L1","L2","Best_epoch","Epoch_Last","Epoch_Stopped_by_patience","Epoch_Hit_ceiling","Inner_RMSE","Inner_Correlation","Inner_MAE","N_train","N_test","N_pred_finite","N_zero_variance_markers","Genetic_Correlation","Genetic_RMSE","Genetic_MAE","Genetic_Bias","Genetic_Slope","Genetic_R2","Phenotype_Correlation","Phenotype_RMSE","Phenotype_MAE","Phenotype_Bias","Phenotype_Slope","Phenotype_R2","Epoch_selection_seconds","Final_fit_seconds","Predict_seconds","Status","Error"
"simulated","C4",120,0.5,3,5,"R03_F05","C4_R03_F05","ANN_L1","64-32",0.000125,0.001,0,10,35,TRUE,FALSE,0.702758261576804,0.586364725459625,0.57432947312094,800,200,200,0,0.853523179813037,0.392286708827034,0.310306692158401,0.21371478823381,1.38118171016381,0.535004543416753,0.618108227282248,0.694834861744147,0.558811121378044,0.184592788233809,1.44054944122655,0.296687346760199,0.42999999999995,0.129999999999995,0,"ok",NA
"simulated","C4",120,0.5,3,5,"R03_F05","C4_R03_F05","ANN_L2","64-32",0.000125,0,0.01,9,34,TRUE,FALSE,0.703043742179799,0.586328180627877,0.574297080888832,800,200,200,0,0.853152996785451,0.39794048634675,0.314674516317145,0.22113156292714,1.39619074162758,0.521504591928517,0.614553761248031,0.699227997539563,0.562529154895006,0.19200956292714,1.44845784284157,0.287765757694824,0.399999999999977,0.100000000000023,0,"ok",NA
"simulated","C4",120,0.5,3,5,"R03_F05","C4_R03_F05","ANN_L1_L2","64-32",0.000125,0.001,0.01,10,35,TRUE,FALSE,0.700329894367152,0.587602396161351,0.572484990205986,800,200,200,0,0.853353716077567,0.393788674296172,0.311198502012459,0.214383627213559,1.39271015664329,0.531437029583328,0.617990134098077,0.695747517476465,0.559432457704513,0.185261627213559,1.45258430062145,0.294838550991252,0.419999999999959,0.0699999999999363,0,"ok",NA
"simulated","C4",120,0.5,4,1,"R04_F01","C4_R04_F01","ANN_0","32-16",0.000125,0,0,32,57,TRUE,FALSE,0.701689015129395,0.588592908202123,0.579282670622194,800,200,200,0,0.805213375114448,0.333945696361863,0.262566038296344,-0.00949639279359552,0.844748274825432,0.626166472730808,0.566263768677108,0.657397082480936,0.524676791314256,0.0305976072064041,0.86132972728261,0.310850516274907,0.690000000000055,0.299999999999955,0,"ok",NA
"simulated","C4",120,0.5,4,1,"R04_F01","C4_R04_F01","ANN_L1","32-16",0.000125,0.001,0,54,79,TRUE,FALSE,0.703588979711589,0.586952683093974,0.576846516950433,800,200,200,0,0.793815553631595,0.336862086188174,0.267205759135653,-0.0276143071702018,0.898858209407341,0.619608490831561,0.545556421306933,0.665694344075166,0.53166189268974,0.0124796928297978,0.895664962064688,0.293344693463708,0.939999999999941,0.480000000000018,0,"ok",NA
"simulated","C4",120,0.5,4,1,"R04_F01","C4_R04_F01","ANN_L2","32-16",0.000125,0,1e-04,33,58,TRUE,FALSE,0.705455356964475,0.586766829324996,0.578531322228998,800,200,200,0,0.80329834815449,0.334567221000648,0.262758887041619,-0.00999813039363538,0.849733854917984,0.62477365367568,0.564872165988577,0.657782692105642,0.525424819538819,0.0300958696063643,0.866344357670827,0.310041809880389,0.659999999999968,0.349999999999909,0,"ok",NA
"simulated","C4",120,0.5,4,1,"R04_F01","C4_R04_F01","ANN_L1_L2","32-16",0.000125,0.001,0.001,51,76,TRUE,FALSE,0.703490661395173,0.58681581085609,0.576974503171579,800,200,200,0,0.795221810796637,0.335138027160022,0.265924708121398,-0.0278340482802506,0.909321986991697,0.623492211836491,0.548945956438657,0.663421305674614,0.530153975495574,0.012259951719749,0.910108829280785,0.298162256819918,0.889999999999986,0.660000000000082,0,"ok",NA
"simulated","C4",120,0.5,4,2,"R04_F02","C4_R04_F02","ANN_0","16",0.000125,0,0,16,41,TRUE,FALSE,0.688592824417723,0.586638436131205,0.554936507100257,800,200,200,0,0.863025538795928,0.345259473899777,0.277975326599626,-0.0431522270936414,0.786057430217642,0.684714093922813,0.568155183665877,0.738538133721795,0.618691971422296,-0.0244027270936408,0.731828874839006,0.278667795746099,0.42999999999995,0.139999999999986,0,"ok",NA
"simulated","C4",120,0.5,4,2,"R04_F02","C4_R04_F02","ANN_L1","16",0.000125,1e-05,0,16,41,TRUE,FALSE,0.680093957284142,0.60640315020744,0.55265739077009,800,200,200,0,0.86295754737968,0.345298715849765,0.278036785757845,-0.0431772739619548,0.786122539186034,0.684642419499286,0.568248223868203,0.738438277743479,0.618628456914916,-0.0244277739619542,0.732067019304298,0.278862841770673,0.480000000000018,0.1099999999999,0,"ok",NA
"simulated","C4",120,0.5,4,2,"R04_F02","C4_R04_F02","ANN_L2","16",0.000125,0,0.01,16,41,TRUE,FALSE,0.680082419887082,0.606408131271118,0.55264471953044,800,200,200,0,0.862985790684277,0.345178077683634,0.277978819202902,-0.0433368670124156,0.786445819588108,0.684862736069452,0.568134469102905,0.738471456489412,0.618681182544203,-0.0245873670124151,0.732197497413099,0.278798037535044,0.399999999999977,0.120000000000005,0,"ok",NA
"simulated","C4",120,0.5,4,2,"R04_F02","C4_R04_F02","ANN_L1_L2","16",0.000125,1e-05,0.01,16,41,TRUE,FALSE,0.680083142090841,0.606406508884988,0.552646770283868,800,200,200,0,0.863046319260605,0.345089661329203,0.27789677561043,-0.043464001989935,0.786589385152251,0.685024158368686,0.568076899281219,0.738502883007906,0.618714423276524,-0.0247145019899344,0.732205596021029,0.278736653039063,0.529999999999973,0.110000000000014,0.0199999999999818,"ok",NA
